Edge TPU Compiler version 16.0.384591198
Input: /content/drive/MyDrive/deeplabv3_int8.tflite
Output: deeplabv3_int8_edgetpu.tflite

Operator                       Count      Status

CONCATENATION                  1          More than one subgraph is not supported
PAD                            3          Mapped to Edge TPU
DEPTHWISE_CONV_2D              13         Mapped to Edge TPU
RESIZE_BILINEAR                1          Operation is otherwise supported, but not mapped due to some unspecified limitation
SPACE_TO_BATCH_ND              2          Tensor has unsupported rank (up to 3 innermost dimensions mapped)
CONV_2D                        2          Tensor has unsupported rank (up to 3 innermost dimensions mapped)
CONV_2D                        2          More than one subgraph is not supported
CONV_2D                        28         Mapped to Edge TPU
QUANTIZE                       1          Mapped to Edge TPU
QUANTIZE                       1          Operation is otherwise supported, but not mapped due to some unspecified limitation
MUL                            2          More than one subgraph is not supported
BATCH_TO_SPACE_ND              2          Tensor has unsupported rank (up to 3 innermost dimensions mapped)
ADD                            2          More than one subgraph is not supported
ADD                            8          Mapped to Edge TPU
