Edge TPU Compiler version 16.0.384591198
Input: /content/drive/MyDrive/deeplabv3_int8.tflite
Output: deeplabv3_int8_edgetpu.tflite

Operator                       Count      Status

SPACE_TO_BATCH_ND              3          Tensor has unsupported rank (up to 3 innermost dimensions mapped)
RESIZE_BILINEAR                1          More than one subgraph is not supported
RESIZE_BILINEAR                1          Image-interpolation layer won't run precisely enough on Edge TPU
ADD                            5          More than one subgraph is not supported
ADD                            8          Mapped to Edge TPU
CONCATENATION                  1          More than one subgraph is not supported
BATCH_TO_SPACE_ND              3          Tensor has unsupported rank (up to 3 innermost dimensions mapped)
AVERAGE_POOL_2D                1          More than one subgraph is not supported
DEPTHWISE_CONV_2D              3          Tensor has unsupported rank (up to 3 innermost dimensions mapped)
DEPTHWISE_CONV_2D              14         Mapped to Edge TPU
MUL                            3          More than one subgraph is not supported
QUANTIZE                       1          Mapped to Edge TPU
QUANTIZE                       1          Operation is otherwise supported, but not mapped due to some unspecified limitation
CONV_2D                        9          More than one subgraph is not supported
CONV_2D                        29         Mapped to Edge TPU
