Edge TPU Compiler version 16.0.384591198
Input: /content/drive/MyDrive/deeplabv3plus_int8.tflite
Output: deeplabv3plus_int8_edgetpu.tflite

Operator                       Count      Status

CONV_2D                        11         More than one subgraph is not supported
CONV_2D                        30         Mapped to Edge TPU
DEPTHWISE_CONV_2D              3          Tensor has unsupported rank (up to 3 innermost dimensions mapped)
DEPTHWISE_CONV_2D              14         Mapped to Edge TPU
QUANTIZE                       1          Mapped to Edge TPU
QUANTIZE                       1          Operation is otherwise supported, but not mapped due to some unspecified limitation
MUL                            3          More than one subgraph is not supported
RESIZE_BILINEAR                1          Image-interpolation layer won't run precisely enough on Edge TPU
RESIZE_BILINEAR                2          More than one subgraph is not supported
SPACE_TO_BATCH_ND              3          Tensor has unsupported rank (up to 3 innermost dimensions mapped)
ADD                            5          More than one subgraph is not supported
ADD                            8          Mapped to Edge TPU
BATCH_TO_SPACE_ND              3          Tensor has unsupported rank (up to 3 innermost dimensions mapped)
CONCATENATION                  2          More than one subgraph is not supported
AVERAGE_POOL_2D                1          More than one subgraph is not supported
